# 本项目补译的中文释义：词形(|分隔)	读音	释义
十	とお	十，十个
ああ	ああ	那样；啊（感叹）
開く	あく	开，打开；空，空出
朝御飯	あさごはん	早饭
明後日	あさって	后天；（方向）不对，偏离
明日	あした	明天；不久的将来
熱い	あつい	（触感）热，烫；热情的，热烈的
後	あと	后面；之后，以后
あの|彼の	あの	那，那个
在る|有る	ある	有，存在；持有
椅子	いす	椅子，凳子
一日	いちにち	一天；一整天
一番	いちばん	第一，第一名；最，最为
五日	いつか	五天；（每月）五号
入口	いりぐち	入口
居る	いる	（谦让语）在，有
いろいろ|色々	いろいろ	各种各样
おじいさん|お祖父さん	おじいさん	祖父，爷爷；老爷爷
叔父さん|伯父	おじさん	叔叔，伯伯，舅舅；大叔
一昨日	おととい	前天
おととし	おととし	前年
お腹	おなか	肚子，腹部
おばあさん|お祖母さん	おばあさん	祖母，奶奶；老奶奶
伯母さん|叔母さん	おばさん	姨妈，姑妈，婶婶；阿姨
降りる	おりる	下（山、车等）；降下
終る	おわる	结束，完毕
買い物	かいもの	购物；买的东西
風	かぜ	风
方	かた	方向，方面；人（敬称）
辛い	からい	辣的；咸的；（评价）苛刻的
カレンダー	かれんだー	日历，挂历
かわいい|可愛い	かわいい	可爱的，讨人喜欢的
聞く	きく	听；问，打听
綺麗	きれい	漂亮，美丽；干净，整洁
キロ|キログラム|キロメートル	きろ	千（前缀）；公斤；公里
ください|下さい	ください	请（给我）；请（为我做）
靴下	くつした	袜子
ぐらい	ぐらい	大约，左右
結婚	けっこん (する)	结婚
この|此の	この	这，这个
コピーする	こぴーする	复印，复制
御飯	ごはん	米饭；饭，餐
さ来年	さらいねん	后年
散歩	さんぽ (する)	散步
七	しち	七
閉める	しめる	关闭，关上
白	しろ	白色；清白，无罪；空白
じゃあ|じゃ	じゃあ	那么，那样的话
すぐに|直ぐに	すぐに	立刻，马上
ストーブ	すとーぶ	火炉，取暖炉
ズボン|洋袴	ずぼん	裤子
背	せい	身高，个子
石鹸	せっけん	肥皂
背広	せびろ	（男式）西装
ゼロ	ぜろ	零
掃除	そうじ (する)	打扫，扫除
その|其の	その	那，那个
そば|蕎麦	そば	荞麦；荞麦面
たて	たて	长度；高度
多分	たぶん	大概，恐怕，也许
誰	だれ	谁
誰か	だれか	谁，某人
茶色	ちゃいろ	茶色，褐色
できる|出来る	できる	能，会；可以，能够；擅长
出口	でぐち	出口
では	では	那么，那样的话
戸	と	（日式）门；窗户；门扇
十日	とおか	十天；（每月）十号
鶏肉	とりにく	鸡肉
どうぞ	どうぞ	请
どうも	どうも	（表示感谢）多谢；（表示歉意）很，非常
どなた|何方	どなた	哪位，谁（敬语）
どの|何の	どの	哪个
どんな	どんな	什么样的，怎样的
ない|無い	ない	没有的，不存在的
七日	なのか	七天；（每月）七号
何	なん	什么；多少，若干
にぎやか	にぎやか	热闹，繁华
寝る	ねる	睡觉，躺下
登る	のぼる	登，爬，攀登
はく	はく	穿（下装、鞋袜等）
二十日	はつか	二十天；（每月）二十号
晩御飯	ばんごはん	晚饭
一月	ひとつき	一个月
昼御飯	ひるごはん	午饭
勉強	べんきょう (する)	学习，用功
外	ほか	其他，别的；此外
曲る	まがる	拐弯，转弯；弯曲
丸い|円い	まるい	圆的，圆形的
万年筆	まんねんひつ	钢笔
三日	みっか	三天；（每月）三号
六日	むいか	六天；（每月）六号
メートル|米	めーとる	米（长度单位）
もしもし	もしもし	喂（打电话时）；喂，请问
もっと	もっと	再，更，进一步
持つ	もつ	拿，持；携带；拥有
やる|遣る	やる	做，干；进行（比赛等）
昨夜	ゆうべ	昨晚
ゆっくりと	ゆっくりと	慢慢地，从容地
八日	ようか	八天；（每月）八号
四日	よっか	四天；（每月）四号
読む	よむ	读，朗读；诵读；推测，预测
ラジオカセ	らじおかせ	收录机
りっぱ	りっぱ	了不起，出色
零	れい	零
レコード	れこーど	唱片；（体育等）记录
